Sample in Buffer,Sample in Window,TRIGGER,trig[1:0],rxdatak[3:0],rxdata[31:0],DETECT/Q[1:0]
175,175,0,0,3,0000fefe,0
176,176,0,0,3,0000fefe,0
177,177,0,0,2,0000fe4e,0
178,178,0,0,3,0000fefe,0
179,179,0,0,3,0000fefe,0
180,180,0,0,0,0000fe76,0
181,181,0,0,3,0000fefe,0
182,182,0,0,2,0000fe98,0
183,183,0,0,2,0000fe36,0
184,184,0,0,2,0000fe9e,0
185,185,0,0,3,0000fefe,0
186,186,0,0,0,00008b67,0
187,187,0,0,3,0000fefe,0
188,188,0,0,3,0000fefe,0
189,189,0,0,3,0000fefe,0
190,190,0,0,1,0000cbfe,0
191,191,0,0,3,0000fefe,0
192,192,0,0,1,000063fe,0
193,193,0,0,1,0000c0fe,0
194,194,0,0,2,0000fe1e,0
195,195,0,0,3,0000fefe,0
196,196,0,0,3,0000fefe,0
197,197,0,0,1,0000a8fe,0
198,198,0,0,3,0000fef7,0
199,199,0,0,1,00000dfe,0
200,200,0,0,1,000011fe,0
201,201,0,0,3,0000bcfe,0
202,202,0,0,0,00003923,0
203,203,0,0,1,00006ffe,0
204,204,0,0,3,0000fefe,0
205,205,0,0,3,00007cfe,0
206,206,0,0,0,00006d2c,0
207,207,0,0,1,000056fe,0
208,208,0,0,3,0000fefe,0
209,209,0,0,1,0000f5fe,0
210,210,0,0,1,000024fe,0
211,211,0,0,2,0000fed2,0
212,212,0,0,3,0000fefe,0
213,213,0,0,2,0000fe6c,0
214,214,0,0,2,0000fede,0
215,215,0,0,3,0000fefe,0
216,216,0,0,0,00004013,0
217,217,0,0,1,000062fe,0
218,218,0,0,0,0000d790,0
219,219,0,0,1,000054fe,0
220,220,0,0,3,0000dcfe,0
221,221,0,0,3,0000bcfe,0
222,222,0,0,3,0000fefe,0
223,223,0,0,1,00003efe,0
224,224,0,0,0,0000d850,0
225,225,0,0,2,0000fe8f,0
226,226,0,0,3,0000fefe,0
227,227,0,0,1,0000d5fe,0
228,228,0,0,1,00000ffe,0
229,229,0,0,1,000089fe,0
230,230,0,0,3,0000fefe,0
231,231,0,0,3,0000fefe,0
232,232,0,0,2,0000fe12,0
233,233,0,0,1,000096fe,0
234,234,0,0,0,0000f88d,0
235,235,0,0,2,0000fe7b,0
236,236,0,0,0,0000740f,0
237,237,0,0,2,0000fe5c,0
238,238,0,0,1,00007ffe,0
239,239,0,0,2,0000fe41,0
240,240,0,0,1,000025fe,0
241,241,0,0,2,0000fea9,0
242,242,0,0,1,00009efe,0
243,243,0,0,0,000042fb,0
244,244,0,0,1,0000affe,0
245,245,0,0,1,000078fe,0
246,246,0,0,3,0000fefc,0
247,247,0,0,1,00005afe,0
248,248,0,0,3,0000fefe,0
249,249,0,0,1,0000f0fe,0
250,250,0,0,1,000070fe,0
251,251,0,0,2,00003cf4,0
252,252,0,0,2,0000fde2,0
253,253,0,0,1,0000a1fe,0
254,254,0,0,1,000039fe,0
255,255,0,0,3,0000fefe,0
256,256,0,0,1,000022fe,0
257,257,0,0,0,0000605c,0
258,258,0,0,2,00009ce4,0
259,259,0,0,0,00005b1e,0
260,260,0,0,2,0000fe7a,0
261,261,0,0,3,0000fe9c,0
262,262,0,0,1,0000e1fe,0
263,263,0,0,1,000096fe,0
264,264,0,0,0,00000d1f,0
265,265,0,0,1,0000e3fe,0
266,266,0,0,0,00000299,0
267,267,0,0,3,0000fefe,0
268,268,0,0,1,0000ebfe,0
269,269,0,0,1,000023fe,0
270,270,0,0,3,0000fefe,0
271,271,0,0,2,0000fe93,0
272,272,0,0,3,0000fefe,0
273,273,0,0,1,00002ffe,0
274,274,0,0,1,00006ffe,0
275,275,0,0,1,0000a4fe,0
276,276,0,0,3,0000fefe,0
277,277,0,0,3,0000fefe,0
278,278,0,0,0,0000f9f0,0
279,279,0,0,2,0000feba,0
280,280,0,0,2,0000fef0,0
281,281,0,0,1,0000ebfe,0
282,282,0,0,3,0000fefe,0
283,283,0,0,1,00002bfe,0
284,284,0,0,1,00007efe,0
285,285,0,0,3,0000fefe,0
286,286,0,0,3,0000fefe,0
287,287,0,0,0,0000993b,0
288,288,0,0,2,0000fee7,0
289,289,0,0,3,0000fefe,0
290,290,0,0,0,0000b312,0
291,291,0,0,2,0000feed,0
292,292,0,0,3,0000fefe,0
293,293,0,0,2,0000fe28,0
294,294,0,0,2,0000fed0,0
295,295,0,0,2,0000feed,0
296,296,0,0,1,000019fe,0
297,297,0,0,2,0000fe5d,0
298,298,0,0,0,00000610,0
299,299,0,0,3,0000fefe,0
300,300,0,0,1,000056fe,0
301,301,0,0,1,000017fe,0
302,302,0,0,1,00009bdc,0
303,303,0,0,2,0000fedf,0
304,304,0,0,2,0000fee2,0
305,305,0,0,2,0000fe42,0
306,306,0,0,2,0000fec0,0
307,307,0,0,1,000058fe,0
308,308,0,0,0,00005999,0
309,309,0,0,3,0000fefe,0
310,310,0,0,3,0000fefe,0
311,311,0,0,1,000069fe,0
312,312,0,0,0,000061cf,0
313,313,0,0,3,0000fefe,0
314,314,0,0,1,00000ffe,0
315,315,0,0,3,0000fefe,0
316,316,0,0,1,000084fe,0
317,317,0,0,3,0000fefe,0
318,318,0,0,2,0000fea2,0
319,319,0,0,3,0000fefe,0
320,320,0,0,1,000087fe,0
321,321,0,0,3,0000fefe,0
322,322,0,0,3,0000fefe,0
323,323,0,0,1,00000cfe,0
324,324,0,0,3,0000fefe,0
325,325,0,0,1,0000d8fe,0
326,326,0,0,2,0000fec0,0
327,327,0,0,0,00007088,0
328,328,0,0,3,0000fefe,0
329,329,0,0,1,000050fe,0
330,330,0,0,0,00003781,0
331,331,0,0,2,0000fe17,0
332,332,0,0,3,0000fefe,0
333,333,0,0,2,0000fe28,0
334,334,0,0,0,00003d90,0
335,335,0,0,2,0000fe5f,0
336,336,0,0,3,0000fefe,0
337,337,0,0,0,0000a47a,0
338,338,0,0,1,000056fe,0
339,339,0,0,3,0000fefe,0
340,340,0,0,2,0000fe74,0
341,341,0,0,0,0000cb94,0
342,342,0,0,1,000092fe,0
343,343,0,0,2,0000fe47,0
344,344,0,0,1,0000d3fe,0
345,345,0,0,0,0000271a,0
346,346,0,0,2,0000feb0,0
347,347,0,0,3,0000fefe,0
348,348,0,0,3,0000fefe,0
349,349,0,0,3,0000fefe,0
350,350,0,0,3,0000fefe,0
351,351,0,0,0,00000d18,0
352,352,0,0,0,00004e64,0
353,353,0,0,2,0000fe77,0
354,354,0,0,1,0000fcfe,0
355,355,0,0,3,0000fefe,0
356,356,0,0,1,0000cbfe,0
357,357,0,0,2,0000fee3,0
358,358,0,0,1,00007a1c,0
359,359,0,0,1,0000c4fe,0
360,360,0,0,0,000014a7,0
361,361,0,0,2,0000fee2,0
362,362,0,0,2,00007ce4,0
363,363,0,0,2,0000fe80,0
364,364,0,0,3,0000fefe,0
365,365,0,0,1,000037fe,0
366,366,0,0,2,0000fe22,0
367,367,0,0,1,0000adfe,0
368,368,0,0,3,0000fefe,0
369,369,0,0,0,0000fa96,0
370,370,0,0,3,0000fefe,0
371,371,0,0,2,0000feae,0
372,372,0,0,0,00002298,0
373,373,0,0,2,00001ce9,0
374,374,0,0,0,00006500,0
375,375,0,0,0,00009269,0
376,376,0,0,3,0000fefe,0
377,377,0,0,1,00007afe,0
378,378,0,0,1,000027fe,0
379,379,0,0,1,000093fe,0
380,380,0,0,1,000001fe,0
381,381,0,0,3,0000fefe,0
382,382,0,0,1,000076fe,0
383,383,0,0,0,0000307d,0
384,384,0,0,2,0000fe18,0
385,385,0,0,3,0000fefe,0
386,386,0,0,3,0000fe9c,0
387,387,0,0,2,0000fe22,0
388,388,0,0,0,00003a6c,0
389,389,0,0,2,0000fe5c,0
